 71 6221.648574 6.337E-32 3.032E-07.04160.042 2095.24290.810.000000       a      0       X      1                O 19P 18     d56664049221411 2 0    35.0   37.0
 71 6233.246255 9.198E-32 2.994E-07.04380.043 1990.25170.830.000000       a      0       X      1                O 17P 16     d56664049221411 2 0    31.0   33.0
 71 6244.824568 1.236E-31 2.940E-07.04590.045 1896.56370.830.000000       a      0       X      1                O 15P 14     d56664049221411 2 0    27.0   29.0
 71 6256.382650 1.523E-31 2.860E-07.04780.047 1814.19370.840.000000       a      0       X      1                O 13P 12     d56664049221411 2 0    23.0   25.0
 71 6258.756386 5.081E-32 6.314E-07.03560.038 2340.87400.800.000000       a      0       X      1                P 23P 23     d56664049221411 2 0    45.0   47.0
 71 6260.566026 5.772E-32 7.114E-07.03560.038 2339.06440.800.000000       a      0       X      1                P 23Q 22     d56664049221411 2 0    45.0   45.0
 71 6264.754944 8.515E-32 6.260E-07.03800.040 2213.34780.800.000000       a      0       X      1                P 21P 21     d56664049221411 2 0    41.0   43.0
 71 6266.582626 9.784E-32 7.134E-07.03800.040 2211.52010.800.000000       a      0       X      1                P 21Q 20     d56664049221411 2 0    41.0   41.0
 71 6267.919736 1.698E-31 2.743E-07.04960.048 1743.15500.840.000000       a      0       X      1                O 11P 10     d56664049221411 2 0    19.0   21.0
 71 6270.725706 1.335E-31 6.193E-07.04040.041 2097.08890.810.000000       a      0       X      1                P 19P 19     d56664049221411 2 0    37.0   39.0
 71 6272.571725 1.555E-31 7.153E-07.04040.041 2095.24290.810.000000       a      0       X      1                P 19Q 18     d56664049221411 2 0    37.0   37.0
 71 6276.668738 1.951E-31 6.103E-07.04270.043 1992.11650.830.000000       a      0       X      1                P 17P 17     d56664049221411 2 0    33.0   35.0
 71 6278.533493 2.312E-31 7.172E-07.04270.043 1990.25170.830.000000       a      0       X      1                P 17Q 16     d56664049221411 2 0    33.0   33.0
 71 6279.435394 1.665E-31 2.558E-07.05130.050 1683.45810.840.000000       a      0       X      1                O  9P  8     d56664049221411 2 0    15.0   17.0
 71 6282.584002 2.646E-31 5.986E-07.04490.044 1898.44770.830.000000       a      0       X      1                P 15P 15     d56664049221411 2 0    29.0   31.0
 71 6284.468050 3.205E-31 7.188E-07.04490.044 1896.56370.830.000000       a      0       X      1                P 15Q 14     d56664049221411 2 0    29.0   29.0
 71 6288.471355 3.307E-31 5.826E-07.04690.046 1816.09790.850.000000       a      0       X      1                P 13P 13     d56664049221411 2 0    25.0   27.0
 71 6290.375516 4.123E-31 7.201E-07.04690.046 1814.19370.850.000000       a      0       X      1                P 13Q 12     d56664049221411 2 0    25.0   25.0
 71 6290.930198 1.349E-31 2.243E-07.05330.053 1635.11090.840.000000       a      0       X      1                O  7P  6     d56664049221411 2 0    11.0   13.0
 71 6294.330550 3.767E-31 5.605E-07.04870.047 1745.08060.840.000000       a      0       X      1                P 11P 11     d56664049221411 2 0    21.0   23.0
 71 6296.256106 4.884E-31 7.203E-07.04870.047 1743.15500.840.000000       a      0       X      1                P 11Q 10     d56664049221411 2 0    21.0   21.0
 71 6300.161240 3.832E-31 5.279E-07.05040.049 1685.40730.840.000000       a      0       X      1                P  9P  9     d56664049221411 2 0    17.0   19.0
 71 6302.110369 5.261E-31 7.184E-07.05040.049 1683.45810.840.000000       a      0       X      1                P  9Q  8     d56664049221411 2 0    17.0   17.0
 71 6302.408213 7.378E-32 1.616E-07.05550.056 1598.11570.840.000000       a      0       X      1                O  5P  4     d56664049221411 2 0     7.0    9.0
 71 6305.962972 3.342E-31 4.769E-07.05230.052 1637.08780.840.000000       a      0       X      1                P  7P  7     d56664049221411 2 0    13.0   15.0
 71 6307.939858 5.025E-31 7.107E-07.05230.052 1635.11090.840.000000       a      0       X      1                P  7Q  6     d56664049221411 2 0    13.0   13.0
 71 6311.735196 2.242E-31 3.869E-07.05430.054 1600.13010.840.000000       a      0       X      1                P  5P  5     d56664049221411 2 0     9.0   11.0
 71 6313.749619 3.992E-31 6.826E-07.05430.054 1598.11570.840.000000       a      0       X      1                P  5Q  4     d56664049221411 2 0     9.0    9.0
 71 6317.477256 7.058E-32 1.939E-07.05680.058 1574.54010.840.000000       a      0       X      1                P  3P  3     d56664049221411 2 0     5.0    7.0
 71 6319.562888 1.928E-31 5.248E-07.05680.058 1572.45450.840.000000       a      0       X      1                P  3Q  2     d56664049221411 2 0     5.0    5.0
 71 6323.302777 6.618E-32 1.454E-06.03230.036 2479.64680.780.000000       a      0       X      1                Q 25Q 25     d46664049221411 2 0    51.0   51.0
 71 6323.728571 1.197E-31 1.454E-06.03450.038 2340.87400.800.000000       a      0       X      1                Q 23Q 23     d56664049221411 2 0    47.0   47.0
 71 6324.115115 2.034E-31 1.453E-06.03680.039 2213.34780.800.000000       a      0       X      1                Q 21Q 21     d56664049221411 2 0    43.0   43.0
 71 6324.463566 3.243E-31 1.452E-06.03920.041 2097.08890.810.000000       a      0       X      1                Q 19Q 19     d56664049221411 2 0    39.0   39.0
